2013-04-22 06:44:13 status unpacked ifupdown:armhf 0.7.2ubuntu2
2013-04-22 06:44:13 install initramfs-tools:all <none> 0.103ubuntu0.2
2013-04-22 06:44:13 status half-installed initramfs-tools:all 0.103ubuntu0.2
2013-04-22 06:44:14 status unpacked initramfs-tools:all 0.103ubuntu0.2
2013-04-22 06:44:14 status unpacked initramfs-tools:all 0.103ubuntu0.2
2013-04-22 06:44:14 install initramfs-tools-bin:armhf <none> 0.103ubuntu0.2
2013-04-22 06:44:14 status half-installed initramfs-tools-bin:armhf 0.103ubuntu0.2
2013-04-22 06:44:14 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.2
2013-04-22 06:44:14 status unpacked initramfs-tools-bin:armhf 0.103ubuntu0.2
2013-04-22 06:44:14 install initscripts:armhf <none> 2.88dsf-13.10ubuntu13
2013-04-22 06:44:14 status half-installed initscripts:armhf 2.88dsf-13.10ubuntu13
2013-04-22 06:44:14 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu13
2013-04-22 06:44:14 status unpacked initscripts:armhf 2.88dsf-13.10ubuntu13
2013-04-22 06:44:14 install insserv:armhf <none> 1.14.0-4ubuntu1
2013-04-22 06:44:14 status half-installed insserv:armhf 1.14.0-4ubuntu1
2013-04-22 06:44:14 status unpacked insserv:armhf 1.14.0-4ubuntu1
2013-04-22 06:44:14 status unpacked insserv:armhf 1.14.0-4ubuntu1
2013-04-22 06:44:15 install iproute:armhf <none> 20120521-3ubuntu1
2013-04-22 06:44:15 status half-installed iproute:armhf 20120521-3ubuntu1
2013-04-22 06:44:15 status unpacked iproute:armhf 20120521-3ubuntu1
2013-04-22 06:44:15 status unpacked iproute:armhf 20120521-3ubuntu1
2013-04-22 06:44:15 install klibc-utils:armhf <none> 2.0.1-1ubuntu2
2013-04-22 06:44:15 status half-installed klibc-utils:armhf 2.0.1-1ubuntu2
2013-04-22 06:44:15 status unpacked klibc-utils:armhf 2.0.1-1ubuntu2
2013-04-22 06:44:15 status unpacked klibc-utils:armhf 2.0.1-1ubuntu2
2013-04-22 06:44:15 install libacl1:armhf <none> 2.2.51-8ubuntu2
2013-04-22 06:44:15 status half-installed libacl1:armhf 2.2.51-8ubuntu2
2013-04-22 06:44:15 status unpacked libacl1:armhf 2.2.51-8ubuntu2
2013-04-22 06:44:15 status unpacked libacl1:armhf 2.2.51-8ubuntu2
2013-04-22 06:44:15 install libattr1:armhf <none> 1:2.4.46-8ubuntu1
2013-04-22 06:44:15 status half-installed libattr1:armhf 1:2.4.46-8ubuntu1
2013-04-22 06:44:16 status unpacked libattr1:armhf 1:2.4.46-8ubuntu1
2013-04-22 06:44:16 status unpacked libattr1:armhf 1:2.4.46-8ubuntu1
2013-04-22 06:44:16 install libblkid1:armhf <none> 2.20.1-5.1ubuntu2
2013-04-22 06:44:16 status half-installed libblkid1:armhf 2.20.1-5.1ubuntu2
2013-04-22 06:44:16 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu2
2013-04-22 06:44:16 status unpacked libblkid1:armhf 2.20.1-5.1ubuntu2
2013-04-22 06:44:16 install libbz2-1.0:armhf <none> 1.0.6-4
2013-04-22 06:44:16 status half-installed libbz2-1.0:armhf 1.0.6-4
2013-04-22 06:44:16 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-04-22 06:44:16 status unpacked libbz2-1.0:armhf 1.0.6-4
2013-04-22 06:44:16 install libc-bin:armhf <none> 2.15-0ubuntu20
2013-04-22 06:44:16 status half-installed libc-bin:armhf 2.15-0ubuntu20
